Product_Label,Economy_Label,Partner_Label,1995_US_dollars_at_current_prices_in_thousands_Value,1995_US_dollars_at_current_prices_Footnote,1995_US_dollars_at_current_prices_MissingValue,1996_US_dollars_at_current_prices_in_thousands_Value,1996_US_dollars_at_current_prices_Footnote,1996_US_dollars_at_current_prices_MissingValue,1997_US_dollars_at_current_prices_in_thousands_Value,1997_US_dollars_at_current_prices_Footnote,1997_US_dollars_at_current_prices_MissingValue,1998_US_dollars_at_current_prices_in_thousands_Value,1998_US_dollars_at_current_prices_Footnote,1998_US_dollars_at_current_prices_MissingValue,1999_US_dollars_at_current_prices_in_thousands_Value,1999_US_dollars_at_current_prices_Footnote,1999_US_dollars_at_current_prices_MissingValue,2000_US_dollars_at_current_prices_in_thousands_Value,2000_US_dollars_at_current_prices_Footnote,2000_US_dollars_at_current_prices_MissingValue,2001_US_dollars_at_current_prices_in_thousands_Value,2001_US_dollars_at_current_prices_Footnote,2001_US_dollars_at_current_prices_MissingValue,2002_US_dollars_at_current_prices_in_thousands_Value,2002_US_dollars_at_current_prices_Footnote,2002_US_dollars_at_current_prices_MissingValue,2003_US_dollars_at_current_prices_in_thousands_Value,2003_US_dollars_at_current_prices_Footnote,2003_US_dollars_at_current_prices_MissingValue,2004_US_dollars_at_current_prices_in_thousands_Value,2004_US_dollars_at_current_prices_Footnote,2004_US_dollars_at_current_prices_MissingValue,2005_US_dollars_at_current_prices_in_thousands_Value,2005_US_dollars_at_current_prices_Footnote,2005_US_dollars_at_current_prices_MissingValue,2006_US_dollars_at_current_prices_in_thousands_Value,2006_US_dollars_at_current_prices_Footnote,2006_US_dollars_at_current_prices_MissingValue,2007_US_dollars_at_current_prices_in_thousands_Value,2007_US_dollars_at_current_prices_Footnote,2007_US_dollars_at_current_prices_MissingValue,2008_US_dollars_at_current_prices_in_thousands_Value,2008_US_dollars_at_current_prices_Footnote,2008_US_dollars_at_current_prices_MissingValue,2009_US_dollars_at_current_prices_in_thousands_Value,2009_US_dollars_at_current_prices_Footnote,2009_US_dollars_at_current_prices_MissingValue,2010_US_dollars_at_current_prices_in_thousands_Value,2010_US_dollars_at_current_prices_Footnote,2010_US_dollars_at_current_prices_MissingValue,2011_US_dollars_at_current_prices_in_thousands_Value,2011_US_dollars_at_current_prices_Footnote,2011_US_dollars_at_current_prices_MissingValue,2012_US_dollars_at_current_prices_in_thousands_Value,2012_US_dollars_at_current_prices_Footnote,2012_US_dollars_at_current_prices_MissingValue,2013_US_dollars_at_current_prices_in_thousands_Value,2013_US_dollars_at_current_prices_Footnote,2013_US_dollars_at_current_prices_MissingValue,2014_US_dollars_at_current_prices_in_thousands_Value,2014_US_dollars_at_current_prices_Footnote,2014_US_dollars_at_current_prices_MissingValue,2015_US_dollars_at_current_prices_in_thousands_Value,2015_US_dollars_at_current_prices_Footnote,2015_US_dollars_at_current_prices_MissingValue,2016_US_dollars_at_current_prices_in_thousands_Value,2016_US_dollars_at_current_prices_Footnote,2016_US_dollars_at_current_prices_MissingValue,2017_US_dollars_at_current_prices_in_thousands_Value,2017_US_dollars_at_current_prices_Footnote,2017_US_dollars_at_current_prices_MissingValue,2018_US_dollars_at_current_prices_in_thousands_Value,2018_US_dollars_at_current_prices_Footnote,2018_US_dollars_at_current_prices_MissingValue,2019_US_dollars_at_current_prices_in_thousands_Value,2019_US_dollars_at_current_prices_Footnote,2019_US_dollars_at_current_prices_MissingValue,2020_US_dollars_at_current_prices_in_thousands_Value,2020_US_dollars_at_current_prices_Footnote,2020_US_dollars_at_current_prices_MissingValue,2021_US_dollars_at_current_prices_in_thousands_Value,2021_US_dollars_at_current_prices_Footnote,2021_US_dollars_at_current_prices_MissingValue,2022_US_dollars_at_current_prices_in_thousands_Value,2022_US_dollars_at_current_prices_Footnote,2022_US_dollars_at_current_prices_MissingValue
"TOTAL ALL PRODUCTS","China","United Kingdom",2797648,,,3200894,,,3815185,,,4631759,,,4880019,,,6310102,,,6780523,,,8059425,,,10823721,,,14966962,,,18976474,,,24163209,,,31666365,,,36072739,,,31277364,,,38767054,,,44122055,,,46296693,,,50942128,,,57141135,,,59567065,,,55664076,,,56713517,,,56542925,,,62425024,,,72561344,,,87029777,,,81544682,,
"TOTAL ALL PRODUCTS","China","United States of America",24728629,,,26705626,,,32740595,,,37983570,,,42004220,,,52156428,,,54355080,,,70050092,,,92626296,,,125148956,,,163180459,,,203801046,,,233168790,,,252843531,,,221295020,,,283780323,,,325010988,,,352438221,,,369063859,,,397099250,,,409979244,,,385677759,,,430328147,,,479278747,,,419322649,,,452492876,,,577125500,,,582756110,,
"TOTAL ALL PRODUCTS","China","World",148779500,,,151047462,,,182791585,,,183808988,,,194930779,,,249202551,,,266098209,,,325595970,,,438227767,,,593325581,,,761953410,,,968935601,,,1220059700,,,1430693100,,,1201646800,,,1577763800,,,1898388400,,,2048782200,,,2209007300,,,2342292700,,,2273468200,,,2097637200,,,2263370500,,,2486439700,,,2499207000,,,2589098400,,,3362301600,,,3593601400,,
"TOTAL ALL PRODUCTS","China","Africa",1821744,,,1843439,,,2383386,,,3131173,,,3199509,,,5007275,,,5961927,,,6918896,,,10125514,,,13730759,,,18603510,,,26585194,,,37375142,,,51090962,,,47637378,,,59809530,,,72921199,,,85136958,,,92575846,,,105838607,,,108316510,,,91991203,,,94507892,,,104682995,,,112995136,,,113975412,,,148030683,,,164176789,,
"TOTAL ALL PRODUCTS","China","Americas",29392004,,,31415659,,,39228771,,,45393612,,,49656336,,,62454324,,,65866587,,,83751982,,,110001967,,,151459171,,,198336516,,,255123220,,,303880104,,,345971055,,,295604434,,,397584823,,,471714386,,,515254511,,,531702645,,,562399089,,,571010815,,,526447634,,,591964930,,,662405316,,,607505403,,,644455709,,,856527113,,,888332646,,
"TOTAL ALL PRODUCTS","China","Asia",92212232,,,91405087,,,109174807,,,98629119,,,103108973,,,132928488,,,141310279,,,171181695,,,222589294,,,295480057,,,366417732,,,455834323,,,569290572,,,664041825,,,568208534,,,731845646,,,899708037,,,1007682822,,,1134951525,,,1189019876,,,1140836182,,,1041330457,,,1097262273,,,1188451282,,,1222089050,,,1231177670,,,1577507584,,,1702969379,,
"TOTAL ALL PRODUCTS","China","Europe",21760933,,,22669778,,,27421868,,,31391004,,,34966294,,,44895023,,,48883501,,,58444576,,,88218265,,,122481752,,,165704980,,,215378071,,,288382665,,,343695842,,,265254562,,,355493637,,,413131979,,,395799163,,,405073971,,,438450840,,,402808536,,,389193808,,,428344730,,,473806291,,,498400540,,,534793880,,,699776791,,,743660668,,
"TOTAL ALL PRODUCTS","China","Oceania",1900066,,,1960111,,,2397239,,,2683012,,,3109650,,,3904422,,,4067916,,,5281864,,,7282455,,,10160241,,,12875445,,,15996445,,,21103724,,,25871904,,,24926582,,,33014078,,,40892308,,,44872025,,,44612039,,,46566932,,,50483251,,,47488487,,,51260189,,,57073251,,,58172704,,,64678704,,,80436038,,,94384409,,
"TOTAL ALL PRODUCTS","France","Brazil",1413484,"Incomplete territorial aggregate",,1511263,,,1587954,,,2051343,,,1836144,,,2127752,,,2464636,,,2557786,,,1692067,,,2258777,,,2772820,,,3202713,,,4225379,,,5194622,,,3545856,,,4731103,,,5564538,,,5951755,,,6297151,,,5704801,,,5329449,,,4778135,,,4717214,,,5331961,,,4634470,,,3309643,,,3913237,,,4251957,,
"TOTAL ALL PRODUCTS","France","Canada",1879779,,,1918258,,,2371431,,,2297075,,,3041464,,,2371395,,,2582422,,,2534163,,,2656157,,,3036697,,,3010954,,,3468088,,,3655153,,,4183885,,,3342438,,,3423229,,,3978715,,,3730957,,,3901895,,,3901055,,,3568237,,,3347443,,,3564890,,,3973505,,,4196427,,,3546224,,,4008581,,,4313751,,
"TOTAL ALL PRODUCTS","France","China",2640218,"Incomplete territorial aggregate",,2422593,,,3421357,,,3308105,,,3263788,,,2970079,,,2940383,,,3272429,,,5186658,,,6573206,,,7205194,,,10148907,,,12423865,,,13285333,,,10943269,,,14551262,,,18745449,,,19383272,,,19572699,,,21469260,,,19909795,,,17705737,,,21292096,,,24618001,,,23438190,,,19959959,,,28338751,,,24967658,,
"TOTAL ALL PRODUCTS","France","Germany",50155455,,,49120346,,,44978979,,,48001090,,,46587425,,,44461097,,,41519873,,,44216500,,,53413851,,,62210703,,,63112311,,,69417315,,,77914753,,,86841525,,,68985006,,,82988674,,,97949179,,,92316938,,,93524554,,,93804335,,,79145560,,,78851328,,,77609886,,,83212117,,,78210511,,,69891045,,,81694504,,,84558339,,
"TOTAL ALL PRODUCTS","France","India",1055176,"Incomplete territorial aggregate",,1072833,,,846213,,,780937,,,959977,,,863305,,,910128,,,947962,,,1131734,,,1609947,,,2286825,,,3180407,,,4598491,,,4904918,,,3415225,,,3844785,,,3862716,,,4188635,,,3602607,,,3585144,,,3523264,,,4326693,,,6037815,,,6530435,,,6005950,,,4825240,,,6946361,,,6245299,,
"TOTAL ALL PRODUCTS","France","Italy",27419218,,,26420875,,,26309759,,,27506432,,,27037608,,,26329113,,,25427013,,,27620714,,,33195095,,,38620279,,,39877082,,,43529542,,,49433372,,,52393491,,,39227043,,,41322052,,,47564332,,,41227601,,,40380166,,,40924834,,,35326272,,,35717802,,,39738179,,,42748245,,,42046622,,,37139022,,,46408986,,,56624436,,
"TOTAL ALL PRODUCTS","France","Japan",5602822,"Incomplete territorial aggregate",,5353920,,,4875560,,,4666388,,,4542095,,,4982922,,,4849797,,,5244159,,,5970097,,,6646943,,,6732357,,,7152506,,,7916481,,,8254690,,,6648768,,,7793299,,,9080339,,,9506511,,,9026263,,,9055749,,,6974269,,,6915727,,,7183784,,,7814215,,,8639797,,,6492751,,,7727298,,,6709772,,
"TOTAL ALL PRODUCTS","France","Russian Federation",1674701,"Incomplete territorial aggregate",,2002375,,,2535253,,,1886645,,,1389279,,,1613529,,,2053071,,,2210383,,,3156447,,,3915176,,,4182568,,,5922984,,,7748231,,,10364291,,,7069433,,,8319019,,,10375465,,,11722313,,,10199853,,,8964064,,,5002265,,,5405701,,,6292661,,,6280694,,,6277035,,,5889414,,,7554508,,,3249285,,
"TOTAL ALL PRODUCTS","France","South Africa",,,,,,,,,,,,,,,,1056103,,,973935,,,1254822,,,1584297,,,2072686,,,2341954,,,2137241,,,2229494,,,2423538,,,1833630,,,2296616,,,3200295,,,2420712,,,2370855,,,2585209,,,2001178,,,2012412,,,2016901,,,1876263,,,1897696,,,1511053,,,1877611,,,1895161,,
"TOTAL ALL PRODUCTS","France","United Kingdom",26317641,,,26853032,,,28640756,,,30107580,,,30548554,,,29075686,,,28480822,,,31330056,,,34405122,,,38671329,,,38237981,,,40715473,,,45226332,,,46710234,,,33747315,,,34343828,,,38841447,,,37689540,,,39093103,,,40208880,,,35002774,,,34445925,,,35050754,,,38386038,,,38469024,,,30988367,,,33291812,,,35224901,,
"TOTAL ALL PRODUCTS","France","United States of America",16778490,,,17311928,,,18446322,,,22273595,,,23026553,,,25936987,,,25615806,,,24665977,,,24876423,,,28711499,,,31113171,,,33165277,,,34096800,,,35110119,,,27346847,,,29230606,,,32552098,,,34123265,,,35765163,,,36382467,,,36216033,,,36127096,,,38414057,,,45309603,,,47114062,,,37082573,,,41245872,,,49091121,,
"TOTAL ALL PRODUCTS","France","World",277844567,,,283901198,,,283345617,,,300571066,,,296025162,,,295345419,,,289599105,,,304891879,,,358131717,,,413708422,,,434354245,,,479012852,,,539730712,,,594504995,,,464112811,,,511651043,,,585723824,,,558460545,,,567987698,,,566656165,,,493941214,,,488885072,,,523385133,,,568535880,,,556364114,,,488562446,,,585148037,,,618298750,,
"TOTAL ALL PRODUCTS","France","Africa",15065209,,,15265395,,,14014953,,,16061451,,,14615378,,,16832509,,,16445158,,,17594583,,,19920821,,,22612088,,,25091134,,,26541002,,,30462554,,,37174772,,,32310697,,,35152310,,,39250081,,,36236870,,,36683075,,,36462252,,,31685090,,,28270827,,,28787803,,,29271261,,,28976542,,,25434398,,,27428671,,,29119433,,
"TOTAL ALL PRODUCTS","France","Americas",24412375,,,25273791,,,27609725,,,32503331,,,32505817,,,35628575,,,35797260,,,34549235,,,35155801,,,39272298,,,42535672,,,47238997,,,50599695,,,55704582,,,41654285,,,46739312,,,51932617,,,54005377,,,57277623,,,55798781,,,54373156,,,53463991,,,55579234,,,64227491,,,66043517,,,50947891,,,58698748,,,67377100,,
"TOTAL ALL PRODUCTS","France","Asia",34248201,,,33855996,,,35738797,,,32317512,,,30739790,,,31872938,,,32307400,,,32989705,,,40444848,,,48921857,,,54185160,,,62101228,,,70949117,,,79775224,,,69290596,,,81156701,,,93037541,,,94980635,,,95204643,,,95515240,,,85970254,,,83440708,,,94831233,,,100160051,,,96643953,,,79813964,,,96335332,,,96054474,,
"TOTAL ALL PRODUCTS","France","Europe",176218963,,,179083362,,,177919312,,,190302339,,,213796496,,,207726167,,,201583877,,,215849400,,,258041125,,,297438932,,,306855302,,,337512304,,,381278678,,,412810228,,,313367165,,,340863477,,,392119792,,,365718323,,,371480357,,,372354734,,,315956450,,,318174283,,,337584704,,,367437708,,,357882642,,,317336290,,,382273664,,,408202223,,
"TOTAL ALL PRODUCTS","France","Oceania",2335959,,,2439934,,,2452725,,,2300254,,,2667802,,,2281948,,,2522216,,,2945796,,,4069012,,,4916305,,,5022532,,,4511482,,,5148650,,,7335884,,,5335205,,,6180298,,,7751288,,,5911034,,,6343185,,,5855439,,,5061601,,,4758088,,,5022313,,,5234888,,,5614332,,,5102872,,,5814434,,,5693290,,
"TOTAL ALL PRODUCTS","Germany","Brazil",5057591,,,4800996,,,5123544,,,5376241,,,4698628,,,4623482,,,5027010,,,4581964,,,4620802,,,5775980,,,6814719,,,7419980,,,9405570,,,12845528,,,10199370,,,13849356,,,15627543,,,15151765,,,15134138,,,13945735,,,11053160,,,9535608,,,9707667,,,11273512,,,11474352,,,9761726,,,12443146,,,13692926,,
"TOTAL ALL PRODUCTS","Germany","Canada",2869731,,,2798538,,,3792839,,,3881967,,,3487189,,,3969642,,,4585309,,,5249583,,,5491323,,,6050303,,,6834173,,,8102181,,,8688309,,,9272656,,,7381632,,,8610314,,,10297239,,,11583623,,,11861049,,,11624787,,,11106873,,,10552836,,,11003630,,,12056024,,,12313775,,,10761952,,,11994973,,,13528870,,
"TOTAL ALL PRODUCTS","Germany","China",7538505,,,7223123,,,5937844,,,6666868,,,7269576,,,8609272,,,10714927,,,13710968,,,20620293,,,26071490,,,26339982,,,34596026,,,41106431,,,50408742,,,52262376,,,71552785,,,90642574,,,86102711,,,89316350,,,99201360,,,79426902,,,84528603,,,97721640,,,110452930,,,108330594,,,110372411,,,123585271,,,113383309,,
"TOTAL ALL PRODUCTS","Germany","France",62029409,,,58431309,,,52954907,,,58830295,,,61159776,,,62803030,,,61235632,,,63786532,,,79186813,,,93594208,,,98354819,,,106705583,,,128665995,,,137703127,,,113102144,,,118330726,,,140516046,,,131164664,,,131619154,,,133478427,,,113887944,,,111854018,,,119338148,,,124361109,,,119249537,,,103733109,,,121000352,,,121874755,,
"TOTAL ALL PRODUCTS","Germany","India",3194361,,,3116265,,,2508949,,,2149789,,,1902686,,,1918415,,,2016964,,,2227984,,,2767922,,,4095090,,,5208753,,,8004414,,,10130046,,,12127592,,,11327778,,,12382039,,,15190395,,,13445520,,,12219742,,,11885134,,,10870332,,,10907393,,,12144132,,,14878761,,,13439520,,,12262973,,,14787260,,,15801295,,
"TOTAL ALL PRODUCTS","Germany","Italy",39747800,,,39421243,,,36806517,,,39377302,,,39984427,,,41698240,,,41349910,,,43911295,,,55238627,,,65251082,,,67002331,,,74568764,,,89263638,,,91324176,,,70564377,,,77571212,,,85779447,,,71003599,,,70061898,,,71564795,,,64022981,,,67660841,,,73714997,,,82414017,,,75801863,,,69120009,,,88749001,,,91837980,,
"TOTAL ALL PRODUCTS","Germany","Japan",13163483,,,14088504,,,11386663,,,10152275,,,10741767,,,12137468,,,11403153,,,11628545,,,13400845,,,15788338,,,16610514,,,17424016,,,17913466,,,18950651,,,15461099,,,17686179,,,21397447,,,22236864,,,22872493,,,22779313,,,18938948,,,20389297,,,22155108,,,24239532,,,23241210,,,20003683,,,21754522,,,21831171,,
"TOTAL ALL PRODUCTS","Germany","Russian Federation",7197108,,,7601737,,,9295115,,,8020478,,,5266077,,,6092014,,,9034941,,,10633522,,,13732034,,,18643661,,,21413908,,,29457553,,,38755181,,,48826587,,,29592571,,,35937582,,,49359616,,,50180976,,,48738490,,,39845206,,,24649523,,,24515884,,,29926416,,,31350928,,,30445081,,,26996412,,,32147438,,,15745364,,
"TOTAL ALL PRODUCTS","Germany","South Africa",,,,,,,,,,,,,,,,3435665,,,3922845,,,4105048,,,5712122,,,7540980,,,8292675,,,9255811,,,9764952,,,10898000,,,8123963,,,10274481,,,12214959,,,11464125,,,11431424,,,11127907,,,10783106,,,9867231,,,10959102,,,10893895,,,10595337,,,7644867,,,9613420,,,10512206,,
"TOTAL ALL PRODUCTS","Germany","United Kingdom",43299137,,,42298443,,,42298298,,,45415297,,,44844388,,,45763130,,,46392573,,,50056536,,,62522830,,,75893395,,,75159998,,,81235846,,,97258871,,,94502660,,,74114907,,,77278975,,,89401172,,,90727204,,,94442690,,,104888480,,,98358592,,,94836232,,,96087011,,,96659171,,,88405572,,,76506797,,,77393305,,,78043826,,
"TOTAL ALL PRODUCTS","Germany","United States of America",38170340,,,39921427,,,42906198,,,50038874,,,53684167,,,56392629,,,59613961,,,63377330,,,69665327,,,80545783,,,86050473,,,98010962,,,100560788,,,105759527,,,76297833,,,87421805,,,103181346,,,112269321,,,119125993,,,127776387,,,126561005,,,118601932,,,126687319,,,134363439,,,133545758,,,119199210,,,144604026,,,165368717,,
"TOTAL ALL PRODUCTS","Germany","World",523696751,,,524165984,,,512440271,,,543555256,,,542835573,,,549606741,,,571426720,,,615997391,,,748531267,,,911742096,,,977131972,,,1121962900,,,1328841400,,,1457463000,,,1125844000,,,1267743100,,,1483802600,,,1410146300,,,1450937500,,,1498238400,,,1328500200,,,1337236600,,,1450310600,,,1562418800,,,1493266600,,,1385852300,,,1635599600,,,1665635700,,
"TOTAL ALL PRODUCTS","Germany","Africa",6930978,,,6463092,,,6447491,,,6795499,,,7107060,,,9605983,,,10572755,,,10924843,,,13662865,,,16903886,,,18390866,,,20898417,,,24109286,,,29341832,,,24718106,,,26864674,,,29278461,,,28537561,,,29401509,,,30278743,,,26891530,,,27412826,,,29194151,,,27196663,,,26970323,,,23335556,,,27661053,,,28229187,,
"TOTAL ALL PRODUCTS","Germany","Americas",53535475,,,55078972,,,60124310,,,69496056,,,71896817,,,74231783,,,78915408,,,82719800,,,89930766,,,105061725,,,114220633,,,130834294,,,138181384,,,150910011,,,110537885,,,132647547,,,154538140,,,166314218,,,174191328,,,180582733,,,175451227,,,164449913,,,176021835,,,189113214,,,186501527,,,163515790,,,199661056,,,223618379,,
"TOTAL ALL PRODUCTS","Germany","Asia",72751223,,,74578148,,,67596955,,,59168558,,,56859350,,,65385146,,,65498156,,,74385315,,,95531076,,,119992915,,,128302134,,,152603824,,,174202972,,,200872103,,,175759011,,,219956607,,,263561021,,,258375840,,,268100460,,,281168818,,,243501056,,,246941508,,,265189971,,,283704882,,,272054856,,,264208746,,,292960090,,,290112963,,
"TOTAL ALL PRODUCTS","Germany","Europe",346097896,,,345571848,,,326506014,,,355996383,,,384910826,,,395166212,,,397961148,,,428110149,,,542103590,,,661250414,,,707088505,,,807602732,,,980558469,,,1053520866,,,798951108,,,869349787,,,1009940285,,,928951240,,,951318465,,,980555301,,,857850167,,,876843964,,,955106558,,,1031758704,,,976876722,,,909509931,,,1081631148,,,1089793033,,
"TOTAL ALL PRODUCTS","Germany","Oceania",4596783,,,4086148,,,3928262,,,4024502,,,3932146,,,3676979,,,3893513,,,4700903,,,5653415,,,6822623,,,7366957,,,8011942,,,9544587,,,11238727,,,9922245,,,11952902,,,13211264,,,13826726,,,13246953,,,12748763,,,11375362,,,11528845,,,12855905,,,14577161,,,12611369,,,12308125,,,13967415,,,14912277,,
"TOTAL ALL PRODUCTS","India","Brazil",85886,,,132485,,,143390,,,133236,,,134865,,,192288,,,230498,,,361177,,,388209,,,541044,,,969812,,,1498121,,,1899790,,,3250050,,,1781931,,,3669558,,,5391310,,,6162712,,,6111836,,,7140522,,,3099148,,,2300195,,,2867436,,,3579185,,,4113988,,,3675781,,,6262205,,,9724341,,
"TOTAL ALL PRODUCTS","India","Canada",304496,,,352961,,,427915,,,472829,,,577560,,,643398,,,576740,,,686051,,,721768,,,824650,,,991107,,,1124705,,,1183971,,,1380025,,,1172273,,,1251410,,,1876570,,,2013613,,,2306880,,,2166284,,,2081219,,,1970163,,,2316420,,,2792801,,,2901550,,,2812148,,,3557180,,,4251366,,
"TOTAL ALL PRODUCTS","India","China",331692,,,614775,,,718123,,,427006,,,538367,,,734888,,,922542,,,1531604,,,2567162,,,4098514,,,7183792,,,7829168,,,9491978,,,10093927,,,10370052,,,17439991,,,16717786,,,14729317,,,16416825,,,13434251,,,9576579,,,8916073,,,12495230,,,16375997,,,17278833,,,19008267,,,23036597,,,15084401,,
"TOTAL ALL PRODUCTS","India","France",749216,,,718937,,,763864,,,836559,,,902765,,,975662,,,988894,,,1038846,,,1193968,,,1567639,,,2015680,,,2158616,,,2448934,,,3086398,,,3305272,,,4903030,,,5045984,,,5020327,,,5597194,,,5093449,,,4819482,,,4867883,,,5037498,,,5278760,,,5434291,,,4363548,,,6130379,,,8048230,,
"TOTAL ALL PRODUCTS","India","Germany",1971409,,,1892969,,,1921564,,,1851291,,,1731576,,,1821696,,,1784763,,,2030031,,,2357426,,,2683454,,,3483161,,,3851693,,,4726289,,,5915161,,,5848329,,,5989522,,,8260406,,,7133757,,,8081320,,,7745249,,,7023455,,,7178091,,,8233601,,,8953584,,,8569825,,,7656985,,,9513606,,,10441963,,
"TOTAL ALL PRODUCTS","India","Italy",1010932,,,933653,,,1114109,,,1054609,,,1118177,,,1266763,,,1267819,,,1268738,,,1581420,,,2041334,,,2528082,,,3386164,,,3779749,,,3999858,,,3297539,,,4187700,,,5049009,,,4294288,,,5617486,,,5445503,,,4228313,,,4463937,,,5655095,,,5521665,,,5189871,,,4347916,,,7703597,,,8508558,,
"TOTAL ALL PRODUCTS","India","Japan",2208881,,,2005868,,,1892519,,,1651421,,,1682140,,,1827671,,,1551244,,,1786977,,,1709802,,,1847648,,,2455239,,,2804220,,,3263389,,,3624209,,,3215709,,,4805077,,,5592608,,,6415550,,,7325476,,,5756879,,,4529718,,,3827283,,,4497962,,,4741094,,,4815593,,,4043285,,,6077163,,,5699962,,
"TOTAL ALL PRODUCTS","India","Russian Federation",1041826,,,811119,,,953198,,,709174,,,947204,,,855661,,,839595,,,738357,,,696330,,,631196,,,705685,,,845711,,,924103,,,1090744,,,964357,,,1393223,,,1893901,,,2144766,,,2418963,,,2217473,,,1611893,,,1813884,,,2138972,,,2334071,,,2871229,,,2559258,,,3334264,,,2927176,,
"TOTAL ALL PRODUCTS","India","South Africa",,,,,,,,,,,,,,,,307796,,,326689,,,470318,,,467434,,,891641,,,1404101,,,2094445,,,2129593,,,2480948,,,1959653,,,3650058,,,4319584,,,4973300,,,5742467,,,5722396,,,3814365,,,3243165,,,4072393,,,4019432,,,3982930,,,3498286,,,5989463,,,8265804,,
"TOTAL ALL PRODUCTS","India","United Kingdom",2006706,,,2049483,,,2095757,,,1855941,,,2029830,,,2207959,,,2196629,,,2409057,,,2769374,,,3409431,,,4958861,,,5383829,,,6286914,,,6597521,,,6528851,,,6436413,,,8879115,,,8100177,,,10559406,,,9665339,,,8891195,,,8565159,,,8954723,,,9747046,,,8797200,,,7767620,,,10374395,,,11235450,,
"TOTAL ALL PRODUCTS","India","United States of America",5505022,,,6558731,,,6737734,,,7200004,,,8379978,,,9304914,,,8404056,,,10388760,,,11186815,,,13105037,,,16542685,,,18705452,,,20133334,,,21407125,,,19128200,,,23587442,,,32919043,,,37170686,,,41956732,,,42684740,,,40312703,,,41992468,,,46018077,,,51660711,,,54288194,,,49320596,,,71510497,,,80230193,,
"TOTAL ALL PRODUCTS","India","World",31698567,,,33468591,,,34793751,,,33207325,,,36671914,,,42358096,,,43878489,,,50097958,,,59360659,,,75904200,,,100352637,,,121200606,,,145898053,,,181860898,,,176765036,,,220408496,,,301483250,,,289564769,,,336611389,,,317544642,,,264381004,,,260326912,,,294364490,,,322492100,,,323250726,,,275488745,,,394813673,,,452684214,,
"TOTAL ALL PRODUCTS","India","Africa",1319068,,,1266043,,,1497888,,,1661112,,,1592459,,,2189140,,,2810437,,,3018077,,,3622042,,,4804821,,,6734154,,,9470625,,,12441357,,,15383311,,,13310993,,,17887060,,,23345977,,,27314573,,,34076004,,,34629974,,,25640343,,,22614598,,,24358149,,,27024794,,,29592626,,,26045237,,,37881757,,,49583038,,
"TOTAL ALL PRODUCTS","India","Americas",6170522,,,7388625,,,7868906,,,8286487,,,9618381,,,10849061,,,10053620,,,12284597,,,13129124,,,15726744,,,20364675,,,23729318,,,25825361,,,29823331,,,25408698,,,34154212,,,47991863,,,54011901,,,58638760,,,60363867,,,53372029,,,54298457,,,60282258,,,67681198,,,70890694,,,64589989,,,93491803,,,107266045,,
"TOTAL ALL PRODUCTS","India","Asia",12575851,,,13382661,,,13306799,,,11940840,,,13613902,,,15816937,,,16684163,,,20669950,,,26905751,,,35948631,,,47756082,,,58569492,,,72357569,,,92098702,,,90534297,,,118363498,,,149775265,,,149785689,,,171138418,,,160791178,,,130467236,,,127446754,,,147956892,,,158803212,,,154478456,,,128836209,,,179443750,,,193481892,,
"TOTAL ALL PRODUCTS","India","Europe",9280758,,,9075087,,,9628018,,,9069740,,,11034023,,,11698340,,,11766430,,,12627552,,,14920013,,,18212464,,,24254409,,,27791488,,,33789646,,,42044005,,,38920575,,,45153944,,,59002668,,,52965879,,,61457350,,,56371647,,,49247006,,,50997997,,,55416990,,,62186087,,,62279066,,,51298070,,,75456666,,,90494495,,
"TOTAL ALL PRODUCTS","India","Oceania",441616,,,456803,,,519685,,,463290,,,490956,,,478994,,,490847,,,592956,,,713233,,,787751,,,1024349,,,1449736,,,1268598,,,1718297,,,1724306,,,1911335,,,2525333,,,3052031,,,2823223,,,3045491,,,3778182,,,3368923,,,4325624,,,4257146,,,3532052,,,4044094,,,7591021,,,8978006,,
"TOTAL ALL PRODUCTS","Italy","Brazil",3169723,,,3113240,,,3516479,,,3299231,,,2524490,,,2251564,,,2321600,,,1868692,,,1798404,,,2213696,,,2502129,,,2797130,,,3509286,,,4915103,,,3756364,,,5091822,,,6612769,,,6419382,,,6737733,,,6228156,,,4288709,,,3541616,,,4287671,,,4574680,,,4440078,,,4138194,,,5409600,,,5789045,,
"TOTAL ALL PRODUCTS","Italy","Canada",2151177,,,1820071,,,1871175,,,1974684,,,1993960,,,2158118,,,2302926,,,2317871,,,2722267,,,3001039,,,3014325,,,3376370,,,3751276,,,3819996,,,2883320,,,3137980,,,3749817,,,3709760,,,4017028,,,4109318,,,4078508,,,4090435,,,4439217,,,4858542,,,5032274,,,4875750,,,5716244,,,7211085,,
"TOTAL ALL PRODUCTS","Italy","China",2694704,,,2868644,,,2528461,,,2055081,,,1933024,,,2160811,,,2903965,,,3750222,,,4296244,,,5451982,,,5658605,,,7139124,,,8619928,,,9460529,,,9246315,,,11370047,,,13859845,,,11567294,,,13068832,,,13931561,,,11542515,,,12234173,,,15239908,,,15513610,,,14519418,,,14678167,,,18518366,,,18592412,,
