,Year,"ISO Code",Countries,"Economic Freedom Summary Index",Rank,Quartile,"Size of Government","Legal System & Property Rights","Sound Money","Freedom to trade internationally",Regulation
,2021,NLD,Netherlands,7.76,21,1,4.90,8.64,9.10,8.48,7.67
,2021,NOR,Norway,7.67,29,1,4.97,9.00,8.83,8.24,7.32
,2021,NPL,Nepal,6.30,103,3,7.63,4.90,6.63,5.37,6.97
,2021,NZL,"New Zealand",8.43,4,1,6.15,9.09,9.42,8.53,8.95
,2021,OMN,Oman,6.58,90,3,5.01,5.36,8.69,7.55,6.27
,2021,PAK,Pakistan,5.98,123,3,8.24,3.63,6.37,5.91,5.76
,2021,PAN,Panama,7.51,39,1,7.61,5.79,9.36,8.24,6.55
,2021,PER,Peru,7.52,37,1,7.61,5.23,9.44,8.17,7.15
,2021,PHL,Philippines,7.01,70,2,7.91,4.49,9.51,6.53,6.62
,2021,PNG,"Papua New Guinea",6.05,118,3,6.04,4.36,6.71,6.74,6.40
,2021,POL,Poland,7.12,59,2,5.76,6.38,8.09,8.30,7.09
,2021,PRT,Portugal,7.54,36,1,6.04,7.38,9.17,8.23,6.87
,2021,PRY,Paraguay,7.02,68,2,8.00,4.35,9.25,6.94,6.57
,2021,QAT,Qatar,6.58,90,3,5.94,5.39,8.32,6.99,6.27
,2021,ROU,Romania,7.70,27,1,6.95,6.78,9.30,8.43,7.03
,2021,RUS,"Russian Federation",6.28,104,3,5.92,4.91,8.66,6.33,5.58
,2021,RWA,Rwanda,6.77,80,2,4.93,5.88,9.21,6.95,6.85
,2021,SAU,"Saudi Arabia",6.64,83,2,4.81,6.70,8.86,6.64,6.21
,2021,SDN,Sudan,3.98,162,4,7.37,2.06,1.25,5.20,4.02
,2021,SEN,Senegal,6.20,110,3,7.05,4.16,7.14,6.60,6.05
,2021,SGP,Singapore,8.56,1,1,7.26,8.43,9.45,8.94,8.74
,2021,SLE,"Sierra Leone",5.91,126,4,7.10,4.48,7.21,6.00,4.76
,2021,SLV,"El Salvador",7.11,62,2,8.52,3.95,9.27,8.00,5.80
,2021,SOM,Somalia,5.66,138,4,8.84,1.88,7.29,6.12,4.20
,2021,SRB,Serbia,6.85,76,2,5.87,5.44,8.02,8.10,6.83
,2021,SUR,Suriname,5.52,142,4,6.27,4.27,4.29,6.48,6.28
,2021,SVK,"Slovak Republic",7.49,41,1,6.22,6.74,9.14,8.29,7.09
,2021,SVN,Slovenia,7.23,55,2,4.81,6.84,9.38,8.32,6.81
,2021,SWE,Sweden,7.81,17,1,4.73,8.34,9.54,8.59,7.83
,2021,SWZ,Eswatini,5.33,150,4,5.17,3.11,7.78,5.07,5.52
,2021,SYC,Seychelles,7.12,59,2,6.38,6.14,8.56,7.74,6.78
,2021,SYR,"Syrian Arab Republic",3.90,163,4,5.48,2.30,4.81,3.45,3.47
,2021,TCD,Chad,5.31,153,4,7.35,2.45,6.97,5.14,4.63
,2021,TGO,Togo,6.24,107,3,6.76,4.83,7.07,6.10,6.43
,2021,THA,Thailand,7.07,64,2,6.86,5.20,9.76,6.90,6.63
,2021,TJK,Tajikistan,6.38,100,3,5.86,4.01,9.06,6.76,6.21
,2021,TLS,Timor-Leste,5.82,130,4,5.43,4.07,7.22,7.23,5.15
,2021,TTO,"Trinidad and Tobago",6.63,85,3,6.83,5.05,9.01,6.25,6.00
